-5.253970026969909668e-01,-2.894467711448669434e-01,1.728788971900939941e+00,3.553613126277923584e-01
-6.889902949333190918e-01,-3.627385497093200684e-01,-8.319991827011108398e-01,-1.297261565923690796e-02
1.752228587865829468e-01,-1.565494835376739502e-01,-2.212715335190296173e-02,6.827712804079055786e-02
4.403311610221862793e-01,1.612328737974166870e-01,-1.279911994934082031e+00,-2.244609445333480835e-01
-8.440263867378234863e-01,-8.216661810874938965e-01,1.908766984939575195e+00,5.357304215431213379e-01
-3.333730697631835938e-01,-1.900343894958496094e-01,6.905378103256225586e-01,1.913500726222991943e-01
1.800273656845092773e-01,9.077461808919906616e-02,-3.564717471599578857e-01,-8.416302502155303955e-02
-2.153177410364151001e-01,1.499633342027664185e-01,-2.067982912063598633e+00,-1.681496202945709229e-01
1.010051667690277100e-01,6.477063894271850586e-02,-2.602727413177490234e-01,-4.576776176691055298e-02
-4.531406462192535400e-01,-3.518123030662536621e-01,1.491565704345703125e+00,3.587476909160614014e-01
-8.775482773780822754e-01,-7.617074847221374512e-01,1.890899896621704102e+00,4.859831631183624268e-01
8.129230141639709473e-01,5.545096397399902344e-01,-2.231559276580810547e+00,-4.776351749897003174e-01
-1.855535656213760376e-01,-1.171863526105880737e-01,4.731248915195465088e-01,1.125845238566398621e-01
-1.655246317386627197e-01,8.631332963705062866e-02,1.513423174619674683e-01,-1.523484382778406143e-02
-3.516828641295433044e-02,3.097007274627685547e-01,-2.091024398803710938e+00,-1.812333464622497559e-01
-8.653753399848937988e-01,-4.630289673805236816e-01,1.763611078262329102e+00,4.740639030933380127e-01
3.816751837730407715e-01,2.326379120349884033e-01,-1.974795341491699219e+00,-3.063658177852630615e-01
-5.871796011924743652e-01,-4.400936365127563477e-01,1.721115708351135254e+00,6.508588790893554688e-01
3.397680222988128662e-01,-3.303889334201812744e-01,1.758787393569946289e+00,1.029553189873695374e-01
-1.188868284225463867e+00,-8.982187509536743164e-01,1.726315975189208984e+00,5.382200479507446289e-01
8.701580762863159180e-01,7.121173739433288574e-01,-2.056606054306030273e+00,-6.808742880821228027e-01
-2.042381465435028076e-01,-1.121114715933799744e-01,3.775973916053771973e-01,1.264009475708007812e-01
6.742841005325317383e-01,4.350123405456542969e-01,-1.941663861274719238e+00,-4.698156118392944336e-01
8.382848501205444336e-01,9.088769555091857910e-01,-1.947138905525207520e+00,-6.064745783805847168e-01
-6.180821657180786133e-01,-3.879966139793395996e-01,1.953090667724609375e+00,4.218236207962036133e-01
1.224591583013534546e-02,3.259035991504788399e-03,-2.600105479359626770e-02,2.361666969954967499e-02
-2.001561410725116730e-02,-1.524330116808414459e-02,3.454348444938659668e-02,1.492988690733909607e-02
6.393209099769592285e-01,5.430732965469360352e-01,-2.175004243850708008e+00,-5.280669331550598145e-01
4.222587943077087402e-01,2.492071501910686493e-02,3.562512695789337158e-01,-1.409524492919445038e-02
6.216603517532348633e-01,2.922722101211547852e-01,-1.600636243820190430e+00,-3.251243829727172852e-01
5.029543638229370117e-01,-3.486176729202270508e-01,1.572608232498168945e+00,2.762597240507602692e-02
-1.216538786888122559e+00,-8.273864984512329102e-01,2.005469799041748047e+00,6.030943393707275391e-01
-5.275758504867553711e-01,-3.317739665508270264e-01,1.482101440429687500e+00,3.709762692451477051e-01
-4.390029907226562500e-01,-4.071673452854156494e-01,2.061665058135986328e+00,4.086020290851593018e-01
-6.627235412597656250e-01,-1.130015254020690918e-01,6.776345521211624146e-02,1.775705218315124512e-01
5.331470072269439697e-02,1.013711839914321899e-01,-2.336542308330535889e-01,-3.249788656830787659e-02
4.695103168487548828e-01,5.034250020980834961e-01,-2.061485528945922852e+00,-5.437571406364440918e-01
-6.641026735305786133e-01,-4.573869407176971436e-01,1.725649714469909668e+00,4.568209052085876465e-01
1.321587264537811279e-01,2.853988707065582275e-01,-2.158283948898315430e+00,-3.643899857997894287e-01
-2.524890601634979248e-01,5.337337497621774673e-03,-9.919999241828918457e-01,-1.667523756623268127e-02
